"id","num_changes","created_at","user","tags","min_x","max_x","min_y","max_y"
"80819503","1","2020-02-11 00:36:18.000","Stuart74","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-6.0600402","-6.0595923","53.1396947","53.1398447"
"80819519","1","2020-02-11 00:37:46.000","Stuart74","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-6.0646431","-6.0646431","53.1084291","53.1084292"
"80819527","1","2020-02-11 00:38:17.000","Stuart74","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-6.0647501","-6.0647500","53.1099005","53.1099005"
"80819547","1","2020-02-11 00:39:59.000","Stuart74","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-6.1014167","-6.0940674","53.0783090","53.0822877"
"80819567","1","2020-02-11 00:41:34.000","Stuart74","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-6.1124931","-6.1124931","53.0916714","53.0916714"
"82297173","1","2020-03-17 10:10:10.000","Diego Krein","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-58.1226560","-58.1226560","-28.2668120","-28.2668119"
"75552079","1","2019-10-11 09:01:58.000","timlinux","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-7.3497355","-7.3497355","39.4145336","39.4145336"
"75552422","1","2019-10-11 09:10:11.000","timlinux","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-7.3499796","-7.3499796","39.4145087","39.4145087"
"82308472","1","2020-03-17 15:21:43.000","Patricia Solis","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-111.9100981","-111.9096261","33.3338442","33.3342458"
"82313659","1","2020-03-17 17:59:48.000","Janusz Slota","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-0.1829312","-0.1804246","51.4836527","51.4851882"
"82313985","1","2020-03-17 18:09:47.000","Janusz Slota","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-0.7448530","-0.7392011","51.3173024","51.3220083"
"80847326","1","2020-02-11 11:30:27.000","MaguetteNdong","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-17.4382324","-17.4382324","14.6597879","14.6597880"
"82316615","1","2020-03-17 19:46:26.000","rskedgell","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","0.0047685","0.0049618","51.5495196","51.5495851"
